model,bin,n,true_mean,mae,bias,bin_label
3dcnn,"(0.413, 4.348]",142,3.2805677577464794,0.5458420877676056,0.24685931746478873,0.41-4.35
3dcnn,"(4.348, 5.451]",146,4.907259383561642,0.505937835308219,0.18697331369863016,4.35-5.45
3dcnn,"(5.451, 6.266]",136,5.829473455882352,0.5575612560485296,0.24390616397058829,5.45-6.27
3dcnn,"(6.266, 6.956]",155,6.641466838709678,0.43237997631161273,0.12220571290322575,6.27-6.96
3dcnn,"(6.956, 7.687]",153,7.319234575163398,0.4298204215333332,-0.029146285620915,6.96-7.69
3dcnn,"(7.687, 8.382]",147,8.033008911564623,0.40184420016190464,-0.20085792857142856,7.69-8.38
3dcnn,"(8.382, 10.753]",121,8.680450082644626,0.5370994178495869,-0.44567600413223135,8.38-10.75
feature_extra_trees,"(0.413, 4.348]",152,3.3214141447368433,0.5831690142361113,0.401764293804825,0.41-4.35
feature_extra_trees,"(4.348, 5.451]",142,4.954448239436621,0.580485280418623,0.316342884643975,4.35-5.45
feature_extra_trees,"(5.451, 6.266]",153,5.8674567320261435,0.5425187763435008,0.28223275608206266,5.45-6.27
feature_extra_trees,"(6.266, 6.956]",140,6.59760292857143,0.5513154543650793,0.18233229984127022,6.27-6.96
feature_extra_trees,"(6.956, 7.687]",140,7.310232000000001,0.4785148438095223,-0.01989134333333417,6.96-7.69
feature_extra_trees,"(7.687, 8.382]",144,8.012883402777781,0.5810171061342593,-0.37365770814043286,7.69-8.38
feature_extra_trees,"(8.382, 10.753]",129,8.707223100775188,0.7178719905684757,-0.7061440086563309,8.38-10.75
graph_mpnn,"(0.413, 4.348]",31,3.335784581935485,5.1160818322580655,5.116081808387097,0.41-4.35
graph_mpnn,"(4.348, 5.451]",37,4.8736529216216224,5.158623918918919,5.158623916216216,4.35-5.45
graph_mpnn,"(5.451, 6.266]",36,5.854984166666666,4.386517803194444,4.386517772222222,5.45-6.27
graph_mpnn,"(6.266, 6.956]",30,6.5766116666666665,4.680797533333334,4.66793552,6.27-6.96
graph_mpnn,"(6.956, 7.687]",32,7.3504337500000005,4.0708425125,4.070842515625,6.96-7.69
graph_mpnn,"(7.687, 8.382]",34,8.053205882352941,3.3795163205882344,3.3795163823529415,7.69-8.38
graph_mpnn,"(8.382, 10.753]",75,9.50381946666667,3.7722786586666683,3.552067046666667,8.38-10.75
graph_mpnn,"(10.753, 42.257]",325,18.81048528923077,5.781509164256921,-3.4581717950769226,10.75-42.26
