bin,n,true_mean,mae,rmse,bias,model,bin_label
"(0.537, 4.169]",125,3.146786412800001,0.5690888798959998,0.7536949331603107,0.28787617744,3dcnn,0.54-4.17
"(4.169, 5.158]",125,4.704793119999999,0.4715577618959999,0.6565950449681143,0.19363594480000001,3dcnn,4.17-5.16
"(5.158, 5.961]",125,5.553077759999996,0.5456501130128001,0.6713793785363916,0.20398498400000004,3dcnn,5.16-5.96
"(5.961, 6.642]",125,6.33081952,0.4794844992623999,0.5999694662662894,0.18886343760000004,3dcnn,5.96-6.64
"(6.642, 7.157]",125,6.896479760000002,0.4710575166599997,0.6348730420702913,0.058238001600000006,3dcnn,6.64-7.16
"(7.157, 7.759]",125,7.476117680000003,0.37819285872399994,0.521957645066918,-0.03630993999999994,3dcnn,7.16-7.76
"(7.759, 8.367]",125,8.065705360000003,0.4244702765271999,0.5783790860198323,-0.24375560720000006,3dcnn,7.76-8.37
"(8.367, 8.997]",125,8.670747599999999,0.5328691263984002,0.6390521751618272,-0.44010934239999994,3dcnn,8.37-9.00
"(0.413, 4.163]",125,3.1170976800000014,0.5584297870000001,0.8288723137394742,0.3663192449111114,feature_extra_trees,0.41-4.16
"(4.163, 5.161]",125,4.685614880000003,0.6080619111777774,0.8269652800273286,0.4188201185555554,feature_extra_trees,4.16-5.16
"(5.161, 5.866]",125,5.544337520000001,0.5718447674444447,0.6984221737430303,0.22275015277777768,feature_extra_trees,5.16-5.87
"(5.866, 6.481]",125,6.203120160000001,0.5600222633777785,0.6923476348460458,0.26582591840000036,feature_extra_trees,5.87-6.48
"(6.481, 7.138]",125,6.829192960000001,0.4873344819555549,0.6017477399078323,0.14857611964444448,feature_extra_trees,6.48-7.14
"(7.138, 7.763]",125,7.467438320000002,0.4766318206666659,0.6335701864046699,-0.0527374295555561,feature_extra_trees,7.14-7.76
"(7.763, 8.394]",125,8.07813224,0.613456447822222,0.8840297643664601,-0.44514219866666743,feature_extra_trees,7.76-8.39
"(8.394, 8.998]",125,8.717397119999998,0.7204118371555558,0.9499106479198662,-0.7083085598222224,feature_extra_trees,8.39-9.00
